seqnames,start,end,DISEASE/TRAIT,SNPS
19,44908822,44908822,Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease,rs7412
19,44908822,44908822,Lipoprotein phospholipase A2 activity in cardiovascular disease,rs7412
19,11091630,11091630,Lipoprotein phospholipase A2 activity in cardiovascular disease,rs6511720
19,44908822,44908822,Ideal cardiovascular health (clinical and behavioural),rs7412
19,44912383,44912383,Ideal cardiovascular health (clinical),rs445925
19,48714854,48714854,Blood protein levels in cardiovascular risk,rs33988101
19,51018565,51018565,Blood protein levels in cardiovascular risk,rs62115757
19,6665009,6665009,Blood protein levels in cardiovascular risk,rs344560
19,18365901,18365901,Blood protein levels in cardiovascular risk,rs3195944
19,4237070,4237070,Blood protein levels in cardiovascular risk,rs4905
19,18175736,18175736,Blood protein levels in cardiovascular risk,rs200373
19,48703160,48703160,Blood protein levels in cardiovascular risk,rs492602
19,50970985,50970985,Blood protein levels in cardiovascular risk,rs11667946
19,48710274,48710274,Blood protein levels in cardiovascular risk,rs200433550
19,1832318,1832318,Cardiovascular disease,rs8102879
19,4920402,4920402,Cardiovascular disease,rs12972366
19,7257979,7257979,Cardiovascular disease,rs12978472
19,7341166,7341166,Cardiovascular disease,rs4804517
19,10222312,10222312,Cardiovascular disease,rs10409243
19,11081517,11081517,Cardiovascular disease,rs61194703
19,11186154,11186154,Cardiovascular disease,rs74179972
19,11416089,11416089,Cardiovascular disease,rs167479
19,17108295,17108295,Cardiovascular disease,rs7246865
19,18350146,18350146,Cardiovascular disease,rs113230003
19,18730347,18730347,Cardiovascular disease,rs11880800
19,44908822,44908822,Cardiovascular disease,rs7412
19,48702915,48702915,Cardiovascular disease,rs516246
19,49642643,49642643,Cardiovascular disease,rs189349094
20,58589799,58589799,Cardiovascular risk factors (age interaction),rs127430
20,63264568,63264568,Cardiovascular disease risk factors,rs1406961
20,45916409,45916409,Blood protein levels in cardiovascular risk,rs4810479
20,46113425,46113425,Blood protein levels in cardiovascular risk,rs1569723
20,23046776,23046776,Blood protein levels in cardiovascular risk,rs3176123
20,4445885,4445885,Cardiovascular disease,rs36037977
20,8641833,8641833,Cardiovascular disease,rs6039216
20,10985350,10985350,Cardiovascular disease,rs1887320
20,32629151,32629151,Cardiovascular disease,rs4911250
20,40551182,40551182,Cardiovascular disease,rs1883711
20,44166512,44166512,Cardiovascular disease,rs6031431
20,48791877,48791877,Cardiovascular disease,rs2208589
20,51492442,51492442,Cardiovascular disease,rs6021247
20,59131469,59131469,Cardiovascular disease,rs7267618
20,63852557,63852557,Cardiovascular disease,rs2478981
20,64080106,64080106,Cardiovascular disease,rs8126001
21,43781951,43781951,Blood protein levels in cardiovascular risk,rs35285321
21,43569666,43569666,Cardiovascular disease,rs4818833
21,43339560,43339560,Cardiovascular disease,rs12627514
21,15204463,15204463,Cardiovascular disease,rs2823139
22,34618748,34618748,Circulating leptin levels in high cardiovascular risk,rs5755145
22,20057896,20057896,Cardiovascular disease,rs174877
22,29061594,29061594,Cardiovascular disease,rs134557
X,29622701,29622701,Cardiovascular risk factors (age interaction),rs7890572
X,129601222,129601222,Diarrhoea in darapladib-treated cardiovascular disease (time to event),rs16999497
X,129737601,129737601,Blood protein levels in cardiovascular risk,rs2050011
