seqnames,start,end,DISEASE/TRAIT,SNPS
10,8519464,8519464,Congenital heart disease (inherited effect),rs11816084
10,73657491,73657491,Heart failure,rs4746140
10,119667372,119667372,Heart failure,rs17617337
10,100796418,100796418,Heart rate response to recovery post exercise (40 sec),rs7072737
10,100798737,100798737,Heart rate response to recovery post exercise (50 sec),rs10748799
10,100796418,100796418,Heart rate increase in response to exercise,rs7072737
10,100796418,100796418,Heart rate response to recovery post exercise (30 sec),rs7072737
10,33506985,33506985,Heart rate response to beta blockers (atenolol monotherapy),rs2804864
10,100798737,100798737,Heart rate response to recovery post exercise (10 sec),rs10748799
10,100798737,100798737,Heart rate response to recovery post exercise (20 sec),rs10748799
10,89204857,89204857,Heart failure,rs11203032
10,30753565,30753565,Congenital left-sided heart lesions (maternal effect),rs11008222
10,100792906,100792906,Heart rate response to exercise,rs11190709
10,100792995,100792995,Heart rate response to exercise,rs10883543
10,100792995,100792995,Heart rate response to recovery post exercise,rs10883543
10,100799664,100799664,Heart rate response to recovery post exercise,rs4917911
10,100792995,100792995,Heart rate response to recovery post exercise,rs10883543
10,130548836,130548836,Conotruncal heart defects,rs11017328
10,103891899,103891899,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs10883944
10,73647891,73647891,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs4746139
10,111314442,111314442,Glomerular filtration rate change in heart transplantation,rs4917601
10,59510886,59510886,Heart rate in heart failure with reduced ejection fraction,rs11006544
10,11818334,11818334,Heart rate in heart failure with reduced ejection fraction,rs58829444
10,59510886,59510886,Heart rate in heart failure with reduced ejection fraction,rs11006544
10,77152423,77152423,Heart rate in heart failure with reduced ejection fraction,rs79087352
11,12447850,12447850,Mortality in heart failure,rs7120489
11,61803910,61803910,Heart rate,rs174549
11,61803311,61803311,Resting heart rate,rs174547
11,41831114,41831114,RR interval (heart rate),rs1484948
11,118165996,118165996,Heart rate variability traits (SDNN),rs677652
11,133461123,133461123,Heart rate variability traits (SDNN),rs149496015
11,60508428,60508428,Congenital heart disease (maternal effect),rs1941023
11,37475966,37475966,Heart rate response to beta blockers (atenolol monotherapy),rs11034161
11,37419117,37419117,Heart rate response to beta blockers (atenolol monotherapy),rs16930242
11,93477650,93477650,Heart rate response to beta blockers (atenolol add-on therapy),rs2658796
11,72273354,72273354,Heart rate response to recovery post exercise (10 sec),rs7130652
11,126158822,126158822,Heart failure,rs563519
11,69648142,69648142,Immunoglobulin light chain (AL) amyloidosis (heart involvement),rs9344
11,44958832,44958832,Resting heart rate,rs12576326
11,61784455,61784455,Resting heart rate,rs174536
11,63145382,63145382,Conotruncal heart defects,rs4366490
11,61784455,61784455,Resting heart rate,rs174536
11,44958832,44958832,Resting heart rate,rs12576326
11,128894676,128894676,Resting heart rate,rs75190942
11,12237634,12237634,Resting heart rate,rs112421686
11,62675614,62675614,Resting heart rate,rs12364753
11,78241969,78241969,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs2512519
11,98834502,98834502,Heart rate in heart failure with reduced ejection fraction,rs12362161
11,118548722,118548722,Heart rate in heart failure with reduced ejection fraction,rs111657631
11,121940094,121940094,Heart rate in heart failure with reduced ejection fraction,rs143694932
11,824293,824293,Heart rate in heart failure with reduced ejection fraction,rs114512805
12,131378358,131378358,Mortality in heart failure,rs7965445
12,33424055,33424055,Heart rate,rs7980799
12,24617944,24617944,Heart rate,rs17287293
12,106755644,106755644,Heart rate,rs2067615
12,38712929,38712929,Heart rate,rs826838
12,110717726,110717726,Heart rate,rs11065706
12,24617944,24617944,Resting heart rate,rs17287293
12,131137217,131137217,RR interval (heart rate),rs885389
12,129152803,129152803,Heart rate,rs12824981
12,24619033,24619033,Heart rate variability traits (SDNN),rs10842383
12,24619033,24619033,Heart rate variability traits (SDNN),rs10842383
12,33469964,33469964,Heart rate variability traits (SDNN),rs1384598
12,33469964,33469964,Heart rate variability traits (SDNN),rs1384598
12,24619033,24619033,Heart rate variability traits (RMSSD),rs10842383
12,24619033,24619033,Heart rate variability traits (RMSSD),rs10842383
12,33424055,33424055,Heart rate variability traits (RMSSD),rs7980799
12,33424055,33424055,Heart rate variability traits (RMSSD),rs7980799
12,24619033,24619033,Heart rate variability traits (pvRSA/HF),rs10842383
12,24619033,24619033,Heart rate variability traits (pvRSA/HF),rs10842383
12,33445840,33445840,Heart rate variability traits (pvRSA/HF),rs1351682
12,33445840,33445840,Heart rate variability traits (pvRSA/HF),rs1351682
12,24605546,24605546,Heart rate variability traits (RMSSD),rs4963772
12,55659083,55659083,Conotruncal heart defects (inherited effects),rs941024
12,111466567,111466567,Heart failure,rs4766578
12,24605546,24605546,Heart rate response to recovery post exercise (40 sec),rs4963772
12,33440192,33440192,Heart rate response to recovery post exercise (40 sec),rs6488162
12,115789444,115789444,Heart rate response to recovery post exercise (40 sec),rs61928421
12,24605546,24605546,Heart rate increase in response to exercise,rs4963772
12,33440192,33440192,Heart rate increase in response to exercise,rs6488162
12,24605546,24605546,Heart rate response to recovery post exercise (30 sec),rs4963772
12,33440192,33440192,Heart rate response to recovery post exercise (30 sec),rs6488162
12,115789444,115789444,Heart rate response to recovery post exercise (30 sec),rs61928421
12,55629199,55629199,Heart rate response to beta blockers,rs17117817
12,24605546,24605546,Heart rate response to recovery post exercise (50 sec),rs4963772
12,33440192,33440192,Heart rate response to recovery post exercise (50 sec),rs6488162
12,115789444,115789444,Heart rate response to recovery post exercise (50 sec),rs61928421
12,24605546,24605546,Heart rate response to recovery post exercise (10 sec),rs4963772
12,33440192,33440192,Heart rate response to recovery post exercise (10 sec),rs6488162
12,115789444,115789444,Heart rate response to recovery post exercise (10 sec),rs61928421
12,24605546,24605546,Heart rate response to recovery post exercise (20 sec),rs4963772
12,33440192,33440192,Heart rate response to recovery post exercise (20 sec),rs6488162
12,115789444,115789444,Heart rate response to recovery post exercise (20 sec),rs61928421
12,42859612,42859612,Heart failure,rs1520832
12,29951209,29951209,Heart failure,rs2046383
12,91911494,91911494,Heart failure,rs17019682
12,58865846,58865846,Heart failure,rs11172782
12,24623818,24623818,Heart rate response to exercise,rs137913153
12,66018350,66018350,Heart rate response to exercise,rs1480470
12,33529470,33529470,Heart rate response to exercise,rs1994135
12,33384452,33384452,Heart rate response to exercise,rs1343676
12,24623818,24623818,Heart rate response to exercise,rs137913153
12,24631205,24631205,Heart rate response to exercise,rs4246224
12,33445840,33445840,Heart rate response to recovery post exercise,rs1351682
12,33445840,33445840,Heart rate response to recovery post exercise,rs1351682
12,37976308,37976308,Heart rate response to recovery post exercise,rs10880321
12,38712929,38712929,Heart rate response to recovery post exercise,rs826838
12,37536300,37536300,Heart rate response to recovery post exercise,rs10880689
12,37820809,37820809,Heart rate response to recovery post exercise,rs4533105
12,33581336,33581336,Heart rate response to recovery post exercise,rs1384590
12,24605546,24605546,Heart rate response to recovery post exercise,rs4963772
12,33581848,33581848,Heart rate response to recovery post exercise,rs2218650
12,115790690,115790690,Heart rate response to recovery post exercise,rs11067773
12,33581336,33581336,Heart rate response to recovery post exercise,rs1384590
12,33384452,33384452,Resting heart rate,rs1343676
12,2075300,2075300,Resting heart rate,rs2283274
12,20319268,20319268,Resting heart rate,rs10841486
12,24605546,24605546,Resting heart rate,rs4963772
12,33529470,33529470,Resting heart rate,rs1994135
12,38712929,38712929,Resting heart rate,rs826838
12,64583070,64583070,Resting heart rate,rs867400
12,33529470,33529470,Resting heart rate,rs1994135
12,2075300,2075300,Resting heart rate,rs2283274
12,27802363,27802363,Resting heart rate,rs1050288
12,20319268,20319268,Resting heart rate,rs10841486
12,37536300,37536300,Resting heart rate,rs10880689
12,81825597,81825597,Resting heart rate,rs12579753
12,24605546,24605546,Resting heart rate,rs4963772
12,64583070,64583070,Resting heart rate,rs867400
12,65965972,65965972,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs8756
12,33376353,33376353,RR interval (heart rate),rs9888363
12,99694540,99694540,Heart rate in heart failure with reduced ejection fraction,rs11110004
12,62675917,62675917,Heart rate in heart failure with reduced ejection fraction,rs76392993
12,18903336,18903336,Heart rate in heart failure with reduced ejection fraction,rs8181669
12,18903960,18903960,Heart rate in heart failure with reduced ejection fraction,rs1490716
12,99694540,99694540,Heart rate in heart failure with reduced ejection fraction,rs11110004
12,75962050,75962050,Heart rate in heart failure with reduced ejection fraction,rs7965830
12,75900959,75900959,Heart rate in heart failure with reduced ejection fraction,rs149765481
12,119704045,119704045,Heart rate in heart failure with reduced ejection fraction,rs371848093
12,75899702,75899702,Heart rate in heart failure with reduced ejection fraction,rs115146744
12,84365999,84365999,Heart rate in heart failure with reduced ejection fraction,rs146219909
12,75895517,75895517,Heart rate in heart failure with reduced ejection fraction,rs114782882
12,89962714,89962714,Heart rate in heart failure with reduced ejection fraction,rs113516553
12,89965597,89965597,Heart rate in heart failure with reduced ejection fraction,rs113983785
12,89966409,89966409,Heart rate in heart failure with reduced ejection fraction,rs111371067
12,89967845,89967845,Heart rate in heart failure with reduced ejection fraction,rs138517179
13,22135531,22135531,RR interval (heart rate),rs7318731
13,36089165,36089165,Heart rate variability traits,rs9315385
13,74642067,74642067,Conotruncal heart defects (maternal effects),rs4885216
13,88185775,88185775,Conotruncal heart defects (maternal effects),rs9586881
13,74642067,74642067,Congenital heart disease (maternal effect),rs4885216
13,88185775,88185775,Congenital heart disease (maternal effect),rs9586881
13,75202132,75202132,Heart failure,rs548097
13,91102945,91102945,Incident coronary heart disease,rs16945184
13,27021678,27021678,Heart rate in heart failure with reduced ejection fraction,rs61945053
13,113804866,113804866,Heart rate in heart failure with reduced ejection fraction,rs77095672
13,113804983,113804983,Heart rate in heart failure with reduced ejection fraction,rs56032548
13,73906571,73906571,Heart rate in heart failure with reduced ejection fraction,rs146264611
14,90213566,90213566,Mortality in heart failure,rs8017423
14,85343567,85343567,Heart rate,rs17796783
14,23392602,23392602,Heart rate,rs365990
14,23396676,23396676,Resting heart rate,rs452036
14,23507801,23507801,Resting heart rate,rs223116
14,72346561,72346561,Heart rate variability traits (SDNN),rs2529471
14,72346561,72346561,Heart rate variability traits (SDNN),rs2529471
14,71997545,71997545,Heart rate variability traits (SDNN),rs4899412
14,71997545,71997545,Heart rate variability traits (SDNN),rs4899412
14,72020336,72020336,Heart rate variability traits (RMSSD),rs2052015
14,72020336,72020336,Heart rate variability traits (RMSSD),rs2052015
14,72346561,72346561,Heart rate variability traits (RMSSD),rs2529471
14,71886485,71886485,Heart rate variability traits (RMSSD),rs36423
14,71886485,71886485,Heart rate variability traits (RMSSD),rs36423
14,72020336,72020336,Heart rate variability traits (RMSSD),rs2052015
14,71886485,71886485,Heart rate variability traits (SDNN),rs36423
14,71886485,71886485,Heart rate variability traits (SDNN),rs36423
14,72418763,72418763,Heart rate,rs17180489
14,98725293,98725293,Heart rate variability traits (RMSSD),rs8009773
14,27023434,27023434,Conotruncal heart defects (maternal effects),rs1245314
14,62695894,62695894,Conotruncal heart defects (maternal effects),rs10129320
14,24575006,24575006,Conotruncal heart defects (maternal effects),rs11623400
14,96363661,96363661,Conotruncal heart defects (inherited effects),rs35946663
14,40807221,40807221,Congenital heart disease (inherited effect),rs1176869
14,40922047,40922047,Congenital heart disease (inherited effect),rs17111230
14,27023434,27023434,Congenital heart disease (maternal effect),rs1245314
14,24575006,24575006,Congenital heart disease (maternal effect),rs11623400
14,72418763,72418763,Heart rate response to recovery post exercise (40 sec),rs17180489
14,72418763,72418763,Heart rate increase in response to exercise,rs17180489
14,72418763,72418763,Heart rate response to recovery post exercise (30 sec),rs17180489
14,34423401,34423401,Heart rate response to beta blockers (atenolol add-on therapy),rs10142635
14,72418763,72418763,Heart rate response to recovery post exercise (50 sec),rs17180489
14,106645692,106645692,Rheumatic heart disease,rs11846409
14,21074607,21074607,Heart rate response to exercise,rs12889267
14,72418763,72418763,Heart rate response to recovery post exercise,rs17180489
14,72418763,72418763,Heart rate response to exercise,rs17180489
14,72378057,72378057,Heart rate response to recovery post exercise,rs150330648
14,23395595,23395595,Resting heart rate,rs422068
14,72418763,72418763,Resting heart rate,rs17180489
14,85330220,85330220,Resting heart rate,rs17201923
14,23396676,23396676,Resting heart rate,rs452036
14,81871321,81871321,Conotruncal heart defects,rs1959122
14,77913341,77913341,Resting heart rate,rs1549118
14,72418763,72418763,Resting heart rate,rs17180489
14,85330220,85330220,Resting heart rate,rs17201923
14,21074607,21074607,Resting heart rate,rs12889267
14,23395595,23395595,Resting heart rate,rs422068
14,91117029,91117029,Resting heart rate,rs4900069
14,23392602,23392602,Resting heart rate,rs365990
14,102193651,102193651,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs56386186
14,65784238,65784238,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs7143026
14,92649065,92649065,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs754388
14,23401543,23401543,RR interval (heart rate),rs432256
14,24328255,24328255,Heart rate in heart failure with reduced ejection fraction,rs2092866
14,31849939,31849939,Heart rate in heart failure with reduced ejection fraction,rs113235453
15,31537504,31537504,Mortality in heart failure,rs2125623
15,73373165,73373165,Heart rate,rs4489968
15,78981704,78981704,RR interval (heart rate),rs3743200
15,73215163,73215163,Heart rate variability traits (SDNN),rs1812835
15,73361144,73361144,Heart rate variability traits (SDNN),rs2680344
15,73361144,73361144,Heart rate variability traits (SDNN),rs2680344
15,73215163,73215163,Heart rate variability traits (RMSSD),rs1812835
15,73215163,73215163,Heart rate variability traits (RMSSD),rs1812835
15,73361144,73361144,Heart rate variability traits (RMSSD),rs2680344
15,73215163,73215163,Heart rate variability traits (pvRSA/HF),rs1812835
15,73361144,73361144,Heart rate variability traits (pvRSA/HF),rs2680344
15,94768842,94768842,Heart rate increase in response to exercise,rs12906962
15,33189743,33189743,Heart rate response to beta blockers (atenolol monotherapy),rs11072312
15,33192136,33192136,Heart rate response to beta blockers (atenolol monotherapy),rs4780091
15,26748512,26748512,Heart rate response to beta blockers (atenolol add-on therapy),rs8035503
15,94768842,94768842,Heart rate response to recovery post exercise (50 sec),rs12906962
15,63445726,63445726,Heart failure,rs10519210
15,34684669,34684669,Congenital left-sided heart lesions,rs6495706
15,94768842,94768842,Heart rate response to exercise,rs12906962
15,94768842,94768842,Heart rate response to recovery post exercise,rs12906962
15,94768842,94768842,Heart rate response to exercise,rs12906962
15,73371562,73371562,Resting heart rate,rs7173389
15,73371562,73371562,Resting heart rate,rs7173389
15,63696566,63696566,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs17186681
15,75879549,75879549,Heart rate in heart failure with reduced ejection fraction,rs76806081
16,6846127,6846127,Heart rate,rs11645781
16,6850546,6850546,Heart rate variability traits (SDNN),rs4786125
16,82445019,82445019,Conotruncal heart defects (maternal effects),rs12716944
16,82445019,82445019,Congenital heart disease (maternal effect),rs12716944
16,53772541,53772541,Heart failure,rs56094641
16,87159478,87159478,Congenital left-sided heart lesions,rs8061121
16,15816886,15816886,Resting heart rate,rs3915499
16,10717830,10717830,Resting heart rate,rs1592560
16,15816886,15816886,Resting heart rate,rs3915499
16,65252967,65252967,Resting heart rate,rs7194801
16,65094555,65094555,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs17431820
16,24584678,24584678,Heart rate in heart failure with reduced ejection fraction,rs148133894
16,87925065,87925065,Heart rate in heart failure with reduced ejection fraction,rs149322277
16,13893862,13893862,Heart rate in heart failure with reduced ejection fraction,rs6498482
16,50120769,50120769,Heart rate in heart failure with reduced ejection fraction,rs79272715
16,13895264,13895264,Heart rate in heart failure with reduced ejection fraction,rs7188980
16,78933297,78933297,Heart rate in heart failure with reduced ejection fraction,rs7198756
16,76851168,76851168,Heart rate in heart failure with reduced ejection fraction,rs34141129
16,13889638,13889638,Heart rate in heart failure with reduced ejection fraction,rs13338660
16,13894865,13894865,Heart rate in heart failure with reduced ejection fraction,rs9924452
16,13894782,13894782,Heart rate in heart failure with reduced ejection fraction,rs7184192
16,13892870,13892870,Heart rate in heart failure with reduced ejection fraction,rs1364363
16,13891137,13891137,Heart rate in heart failure with reduced ejection fraction,rs10163219
16,13892198,13892198,Heart rate in heart failure with reduced ejection fraction,rs9927170
16,24584678,24584678,Heart rate in heart failure with reduced ejection fraction,rs148133894
16,87925065,87925065,Heart rate in heart failure with reduced ejection fraction,rs149322277
16,87973047,87973047,Heart rate in heart failure with reduced ejection fraction,rs116213227
16,87967762,87967762,Heart rate in heart failure with reduced ejection fraction,rs114700275
16,87971983,87971983,Heart rate in heart failure with reduced ejection fraction,rs114908471
16,87949887,87949887,Heart rate in heart failure with reduced ejection fraction,rs138575291
16,720886,720886,Heart rate in heart failure with reduced ejection fraction,rs76064792
16,13710372,13710372,Heart rate in heart failure with reduced ejection fraction,rs28523422
16,50121093,50121093,Heart rate in heart failure with reduced ejection fraction,rs552214848
16,87929642,87929642,Heart rate in heart failure with reduced ejection fraction,rs139731147
16,24501229,24501229,Heart rate in heart failure with reduced ejection fraction,rs116598880
17,74829334,74829334,Conotruncal heart defects (maternal effects),rs56171387
17,7100096,7100096,Congenital heart disease (maternal effect),rs7212330
17,74829334,74829334,Congenital heart disease (maternal effect),rs56171387
17,78456913,78456913,Heart rate response to beta blockers (atenolol add-on therapy),rs12952770
17,14213965,14213965,Conotruncal heart defects,rs12150130
17,17813217,17813217,Resting heart rate,rs12941356
17,15291962,15291962,Resting heart rate,rs79121763
18,77275676,77275676,RR interval (heart rate),rs2717128
18,54268905,54268905,Heart rate response to beta blockers (atenolol monotherapy),rs3730662
18,54292131,54292131,Heart rate response to beta blockers (atenolol monotherapy),rs3730810
18,39145929,39145929,Heart rate response to beta blockers (atenolol monotherapy),rs17662631
18,24534093,24534093,Heart rate response to beta blockers (atenolol monotherapy),rs1006609
18,51748195,51748195,Heart rate response to beta blockers (atenolol monotherapy),rs11082886
18,59552172,59552172,Heart rate response to beta blockers (atenolol add-on therapy),rs2000887
18,55192030,55192030,Heart rate response to exercise,rs1125313
18,36709322,36709322,Resting heart rate,rs61735998
18,2739735,2739735,Conotruncal heart defects,rs11872184
18,32423359,32423359,Resting heart rate,rs11081761
18,28186254,28186254,Resting heart rate,rs11083258
18,22549561,22549561,Resting heart rate,rs117159291
18,36709322,36709322,Resting heart rate,rs61735998
18,22227108,22227108,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs12709669
18,48509413,48509413,Heart rate in heart failure with reduced ejection fraction,rs144303414
18,48509413,48509413,Heart rate in heart failure with reduced ejection fraction,rs144303414
18,79553190,79553190,Heart rate in heart failure with reduced ejection fraction,rs188748322
18,7162907,7162907,Heart rate in heart failure with reduced ejection fraction,rs74972015
18,7165316,7165316,Heart rate in heart failure with reduced ejection fraction,rs76345468
18,7165714,7165714,Heart rate in heart failure with reduced ejection fraction,rs75262741
18,7165736,7165736,Heart rate in heart failure with reduced ejection fraction,rs147545594
19,14240762,14240762,Mortality in heart failure,rs4528684
19,38697472,38697472,Heart rate,rs11083475
19,5894375,5894375,Heart rate variability traits (SDNN),rs12974440
19,5893047,5893047,Heart rate variability traits (SDNN),rs12980262
19,5893047,5893047,Heart rate variability traits (SDNN),rs12980262
19,5894375,5894375,Heart rate variability traits (RMSSD),rs12974440
19,5894573,5894573,Heart rate variability traits (RMSSD),rs12974991
19,5894375,5894375,Heart rate variability traits (pvRSA/HF),rs12974440
19,5894573,5894573,Heart rate variability traits (pvRSA/HF),rs12974991
19,5872392,5872392,Heart rate variability traits (SDNN),rs12982903
19,14334326,14334326,Conotruncal heart defects (maternal effects),rs11669181
19,5873717,5873717,Heart rate response to recovery post exercise (40 sec),rs8108862
19,29619424,29619424,Heart rate response to recovery post exercise (40 sec),rs55954001
19,29618626,29618626,Heart rate increase in response to exercise,rs12986417
19,5873717,5873717,Heart rate response to recovery post exercise (30 sec),rs8108862
19,56145644,56145644,Heart rate response to beta blockers (atenolol monotherapy),rs7255998
19,5873717,5873717,Heart rate response to recovery post exercise (50 sec),rs8108862
19,29619424,29619424,Heart rate response to recovery post exercise (50 sec),rs55954001
19,5894375,5894375,Heart rate response to recovery post exercise (10 sec),rs12974440
19,5883962,5883962,Heart rate response to recovery post exercise (20 sec),rs12974377
19,3159771,3159771,Heart failure,rs11880198
19,29613291,29613291,Heart rate response to exercise,rs7255293
19,5894573,5894573,Heart rate response to exercise,rs12974991
19,5894573,5894573,Heart rate response to recovery post exercise,rs12974991
19,40327563,40327563,Resting heart rate,rs16974196
19,44918903,44918903,Resting heart rate,rs12721051
19,32103916,32103916,Heart rate in heart failure with reduced ejection fraction,rs8105292
19,32137461,32137461,Heart rate in heart failure with reduced ejection fraction,rs115709306
19,32143298,32143298,Heart rate in heart failure with reduced ejection fraction,rs78705027
19,32152628,32152628,Heart rate in heart failure with reduced ejection fraction,rs116175387
19,32170310,32170310,Heart rate in heart failure with reduced ejection fraction,rs76302892
20,38215636,38215636,Heart rate,rs6127471
20,38211754,38211754,Heart rate variability traits (SDNN),rs6123471
20,38211754,38211754,Heart rate variability traits (RMSSD),rs6123471
20,38211754,38211754,Heart rate variability traits (RMSSD),rs6123471
20,2492941,2492941,Conotruncal heart defects (maternal effects),rs41308639
20,38211754,38211754,Resting heart rate,rs6123471
20,34986962,34986962,Congenital left-sided heart lesions,rs3746446
20,6601515,6601515,Conotruncal heart defects,rs6140038
20,41203988,41203988,Resting heart rate,rs17265513
20,38211754,38211754,Resting heart rate,rs6123471
20,5395977,5395977,Resting heart rate,rs148397504
20,38215590,38215590,RR interval (heart rate),rs6069234
20,59333413,59333413,Heart rate in heart failure with reduced ejection fraction,rs138005219
21,26501576,26501576,Heart rate response to beta blockers (atenolol monotherapy),rs2830261
21,15008108,15008108,Heart rate response to beta blockers (atenolol monotherapy),rs2823005
21,15015582,15015582,Heart rate response to beta blockers (atenolol monotherapy),rs2823008
21,14119015,14119015,Heart rate in heart failure with reduced ejection fraction,rs57346421
21,14120037,14120037,Heart rate in heart failure with reduced ejection fraction,rs55798126
21,14124936,14124936,Heart rate in heart failure with reduced ejection fraction,rs56337324
21,14126271,14126271,Heart rate in heart failure with reduced ejection fraction,rs78528733
21,14131214,14131214,Heart rate in heart failure with reduced ejection fraction,rs73894141
21,14131694,14131694,Heart rate in heart failure with reduced ejection fraction,rs73894142
21,42637597,42637597,Heart rate in heart failure with reduced ejection fraction,rs139489372
21,27242552,27242552,Heart rate in heart failure with reduced ejection fraction,rs1477717
22,26646142,26646142,RR interval (heart rate),rs744016
22,38436107,38436107,Conotruncal heart defects,rs2267386
22,38754445,38754445,Resting heart rate,rs2076028
22,27785411,27785411,Resting heart rate,rs2283847
22,46422493,46422493,Heart rate in heart failure with reduced ejection fraction,rs535263906
22,46423108,46423108,Heart rate in heart failure with reduced ejection fraction,rs150381023
22,46429532,46429532,Heart rate in heart failure with reduced ejection fraction,rs150109621
22,27571691,27571691,Heart rate in heart failure with reduced ejection fraction,rs5752592
22,27568401,27568401,Heart rate in heart failure with reduced ejection fraction,rs28580426
22,49158345,49158345,Heart rate in heart failure with reduced ejection fraction,rs6009185
22,46422493,46422493,Heart rate in heart failure with reduced ejection fraction,rs535263906
22,46417046,46417046,Heart rate in heart failure with reduced ejection fraction,rs190258023
22,46417215,46417215,Heart rate in heart failure with reduced ejection fraction,rs148416395
14,106639254,106639254,Rheumatic heart disease,rs201076896
14,106639264,106639264,Rheumatic heart disease,rs202166511
14,106639291,106639291,Rheumatic heart disease,rs202117805
14,106639255,106639255,Rheumatic heart disease,rs201691548
14,106645692,106645692,Rheumatic heart disease,rs11846409 
14,106639263,106639263,Rheumatic heart disease,rs200931578
